country;continent;ecological_footprint_2000;ecological_footprint_2012
Seychelles;Africa;NA;NA
Sierra Leone;Africa;0.73;NA
Singapore;Asia;NA;NA
Slovakia;Europe;3.94;NA
Slovenia;Europe;5.4;NA
Solomon Islands;Oceania;NA;NA
Somalia;Africa;0.97;NA
South Africa;Africa;4.04;NA
South Sudan;Africa;NA;NA
Spain;Europe;5.5;NA
Sri Lanka;Asia;0.95;1.2
Sudan;Africa;1.14;NA
Suriname;South America;NA;NA
Swaziland;Africa;NA;NA
Sweden;Europe;7.53;NA
Switzerland;Europe;6.63;5
Syrian Arab Republic;Asia;2.56;1.5
Tajikistan;Asia;0.9;0.9
Thailand;Asia;2.7;2.4
The former Yugoslav republic of Macedonia;Europe;NA;NA
Timor-Leste;Asia;NA;NA
Togo;Africa;0.82;NA
Tonga;Oceania;NA;NA
Trinidad and Tobago;North America;2.43;NA
Tunisia;Africa;2.27;1.8
Turkey;Asia;2.73;2.6
Turkmenistan;Asia;3.62;NA
Tuvalu;Oceania;NA;NA
Uganda;Africa;0.88;NA
Ukraine;Europe;4.76;NA
United Arab Emirates;Asia;15.99;NA
United Kingdom of Great Britain and Northern Ireland;Europe;6.29;4.7
United Republic of Tanzania;Africa;NA;NA
United States of America;North America;12.22;NA
Uruguay;South America;4.91;NA
Uzbekistan;Asia;2.65;NA
Vanuatu;Oceania;NA;NA
Vatican City;Europe;NA;NA
Venezuela (Bolivarian Republic of);South America;2.88;3
Viet Nam;Asia;0.95;1.4
Yemen;Asia;NA;NA
Zambia;Africa;1.21;NA
Zimbabwe;Africa;1.45;NA
